Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Tartare sauce,Lunch,1527,3.6,7.4,165.3,Veg,None,Veg_Lunch
Tartare sauce,Dinner,1527,3.6,7.4,165.3,Veg,None,Veg_Dinner
Barbeque sauce,Breakfast,182,1.4,30.7,6.8,Veg,None,Veg_Breakfast
Barbeque sauce,Snack,182,1.4,30.7,6.8,Veg,None,Veg_Snack
Bread sauce,Breakfast,166,5.2,13.0,10.6,Veg,Gluten,Veg_Breakfast
Bread sauce,Snack,166,5.2,13.0,10.6,Veg,Gluten,Veg_Snack
Green chilli sauce,Breakfast,138,3.8,22.1,0.8,Veg,None,Veg_Breakfast
Green chilli sauce,Snack,138,3.8,22.1,0.8,Veg,None,Veg_Snack
Home made plain noodles,Lunch,596,15.5,111.2,8.9,Veg,None,Veg_Lunch
Home made plain noodles,Dinner,596,15.5,111.2,8.9,Veg,None,Veg_Dinner
Dal moong,Breakfast,131,6.6,14.8,4.9,Veg,None,Veg_Breakfast
Dal moong,Snack,131,6.6,14.8,4.9,Veg,None,Veg_Snack
Cumin seeds baghar (Jeera baghar/tadka),Lunch,1842,8.4,13.0,196.9,Veg,None,Veg_Lunch
Cumin seeds baghar (Jeera baghar/tadka),Dinner,1842,8.4,13.0,196.9,Veg,None,Veg_Dinner
Onion tomato baghar (Pyaaz tamatar ka tadka),Breakfast,206,1.9,9.3,18.0,Veg,None,Veg_Breakfast
Onion tomato baghar (Pyaaz tamatar ka tadka),Snack,206,1.9,9.3,18.0,Veg,None,Veg_Snack
Mustard seeds baghar (Mustard seed tadka),Lunch,1381,11.8,26.1,135.8,Veg,None,Veg_Lunch
Mustard seeds baghar (Mustard seed tadka),Dinner,1381,11.8,26.1,135.8,Veg,None,Veg_Dinner
Hot cherry sauce,Lunch,631,0.3,169.9,0.2,Veg,None,Veg_Lunch
Hot cherry sauce,Dinner,631,0.3,169.9,0.2,Veg,None,Veg_Dinner
Apple jelly (Seb ki jelly),Lunch,380,0.2,98.4,0.5,Veg,None,Veg_Lunch
Apple jelly (Seb ki jelly),Dinner,380,0.2,98.4,0.5,Veg,None,Veg_Dinner
Marmalade (Murabba),Breakfast,215,0.3,56.5,0.1,Veg,None,Veg_Breakfast
Marmalade (Murabba),Snack,215,0.3,56.5,0.1,Veg,None,Veg_Snack
Plum squash (Aloo bukhara squash),Lunch,527,0.4,138.8,0.2,Veg,None,Veg_Lunch
Plum squash (Aloo bukhara squash),Dinner,527,0.4,138.8,0.2,Veg,None,Veg_Dinner
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Breakfast,42,2.6,6.4,0.7,Veg,None,Veg_Breakfast
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Snack,42,2.6,6.4,0.7,Veg,None,Veg_Snack
Brinjal pickle (Baingan ka achaar),Breakfast,208,3.4,6.3,19.5,Veg,None,Veg_Breakfast
Brinjal pickle (Baingan ka achaar),Snack,208,3.4,6.3,19.5,Veg,None,Veg_Snack
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Breakfast,91,1.9,9.8,4.9,Veg,None,Veg_Breakfast
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Snack,91,1.9,9.8,4.9,Veg,None,Veg_Snack
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Breakfast,136,3.0,9.5,9.8,Veg,None,Veg_Breakfast
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Snack,136,3.0,9.5,9.8,Veg,None,Veg_Snack
Tomato chutney (Tamatar ki chutney),Lunch,440,2.4,79.6,15.0,Veg,None,Veg_Lunch
Tomato chutney (Tamatar ki chutney),Dinner,440,2.4,79.6,15.0,Veg,None,Veg_Dinner
Tomato ketchup,Breakfast,99,2.7,19.4,0.9,Veg,None,Veg_Breakfast
Tomato ketchup,Snack,99,2.7,19.4,0.9,Veg,None,Veg_Snack
Bengal 5 Spice Blend (Panch Phoran),Lunch,724,45.7,50.0,55.4,Veg,None,Veg_Lunch
Bengal 5 Spice Blend (Panch Phoran),Dinner,724,45.7,50.0,55.4,Veg,None,Veg_Dinner
